order_id,products
2774568,17668 18599 21903 39190 43961 47766
1528013,21903 38293
1376945,8309 13176 14947 27959 28465 33572 34658 35948 44632
1356845,5746 7076 10863 13176 14992 21616 28134
2161313,196 12427 14715 27839 37710
1416320,5134 17948 21137 21903 24852 28985 41950
1735923,196 2192 12108 15131 17008 31487 34690 35123
1980631,6184 9387 13575 13914 22362 41400 46061
139655,13176 21903 22935 24964 27845 32655
1411408,22008
2940603,10339 14947 18531 19894 30592 31615 44632
1192143,8424 24852 49683
280888,19213 32566 41406
3202221,4793 7781 9637 11130 13629 17630 21137 21927 24852 39911 45364 45774 46979 49215
3222866,7039 7969 8501 14947 15718 18894 32441 32912 33198 34254 35921 37131 38690
707453,694 4942 6111 12614 16797 18150 21267 21903 24852 25826 25931 26209 28156 32030 37766 39275 42585 44142 44830 45066 45763 46802 48230
1320132,22328
882556,1870 5373 5450 7371 8424 9076 12857 17794 24852 25890 28204 28289 28553 28849 30962 32653 42768 46906 48679
2431024,5322 5450 5699 6975 13176 17044 22035 24799 27555 29926 34217 39928
2827745,17924
2174416,10017 13176 15712 18798 36929 40604
320326,23288 24852 35163 42828
2128599,7628
1099519,13176 16797 22035 26351 28058 49131
144494,14947 16959 23106 23431 39108 46260
3024191,18362 22260 27521 30233 39275 42450
2817181,1377 18828 19677 22559 28058 30219 38920 41618 47867
2883656,21497 24852
1970262,4274 4562 11520 12872 13176 21267 21567 21903 22451 24964 27104 27105 28058 29071 30489 44683 48364
2681168,1999 4210 4605 11777 22151 25890 26604 34358 34993 36735 37131 38739 40198 42736 46886 47167
1345233,1695 8277 13176 21137 21903 40146 42585
2412507,5258 13259 18023 21137 43352
622677,2192 21938
139487,196 6184 21386
3302990,21137 21616 24852 27344 29487 30795 38689
1189294,13176 25138 25527 26317 26369
1368861,1940 5445 6884 23334 32854
1626588,27988 31808
36863,5479 10749 13176 17872 22935 24964 27086 27521 32177 34050 45007 47626
969538,8030 11128 12087 13643 16269 23319 25204 27979 30120 31263 38461 40709 41651 47941 48690
688716,3721 5077 13176 36929 47209 47626
1058680,470 2563 4210 6340 12339 13733 14992 16890 23665 25854 30356 32768 37113 43872 44106 44570 47006
831748,5750 5782 11422 21938 33791 36431 40174 43768 44142
2710859,21903 24852 45007 45104 47766
1500625,1674 8769 10673 16464 26700 29646 34300 36086 38200 40332 40531 46138
726111,9554 12756 13176 21137 41165 44632 47766
2567075,1695 6692 9124 12381 12896 16262 18727 24129 26384 30489 31481 32478 34217 35951 37646 39928
1855063,17794 27845 32655 36550
2588536,2611 2825 18272 23986 24852 26790 27767 33572 47521 49111
1658650,1890 5612 11937 14992 19057 19934 20995 21616 21903 22825 24852 28289 33731 39928 40604 40706 41950 44359 44910 45007 47591 47626 47766
36740,2010 3176 7393 10374 13841 18927 20463 25495 25976 27726 29805 35199 36126 48864
2675738,5031 37543 39685 46226
3052059,9421
2943466,3957 5258 5876 11790 13870 14947 21137 24852 27423 38313 44910 45633
3400496,46906
1920100,2748 9444 19173 21903 22582 22908 30391 34458 37687 41658 46969 47209 49235
2993890,13176 26648
1172828,23909
2587424,13060
2760277,9018 29603
2691733,21903 41658 47990 49488
2769561,3376 9224 11447 11941 13176 16759 16797 18434 20520 21227 21405 22963 23543 24964 26497 27104 30135 36389 37192 38383 40706 41950 42585 42699 44359 45007 45066 47209 49683
2029462,8424 11090 17794 19348 38453 45246
1817659,2962 3957 25666 26128 28934 35121
470997,7515 8043 38311
569815,100 4920 12218 15902 16797 23296 24852 26094 27275 42372 46842 49496
2517930,6341 8518 20119 21903 24852 24964 26165 27156 33768 35842 38383 42265 49683
2378064,6287 7681 8309 13062 13263 19894 20794 20842 21387 21544 24799 28398 28535 30776 36865 43662 45106 45603 49683
169451,13176
2986791,1516 2966 13176 13870 15386 16797 17526 17794 20580 21405 21914 22227 25466 26209 28204 40396 42123 47717
1239084,2180 2509 5141 5450 6760 6873 10768 12469 12700 13166 13176 13646 16759 17758 21936 22935 23044 23233 24852 27521 30391 31215 32655 33098 33527 38558 40910 44359 45374 46069 49235
3191854,4809 19057 40174 41806 49191
1132910,1194 1217 4138 8409 17872 21704 23265 24184 24852 27086 27744 28204 28476 28740 28906 30233 36929 37330 38948 41255 41290 42701 42750 47766
2088686,1516 3583 5380 5479 9390 26128 27531 29837 30489 39877 39928 40311 42265 46802 47626
3358588,4210 19348 22959 24852 25804 27730 47242
1283403,3835 4799 8021 9839 13176 15604 21137 21903 24964 25919 27267 29127 33294 35918 35951 38383 44229 44359 47209
2098786,4482 6873 8929 13447 19660 26324 27509 29344
795256,3376 8193 9839 10385 18234 21137 22418 23288 28985 30489 39275 41658 45007 48364
2399184,77 4098 4781 4920 9122 10385 11005 11710 12315 12919 18370 19819 21137 22993 23516 24830 24852 26317 27086 27845 28199 31040 32139 33043 36316 38275 40310 43961 47229 48112 49235
862070,11853 14168 17352 17634 20534 22963 24852 27845 30480 34969 38383 41665 43205
313331,12341 19660
3241020,21709 44632 47087
1549872,1160 20119
1653971,3318 15424 33198
3161938,16965 47626
2318705,8518 12341 20995 21616 21903 21953 27881 29195 30391 32935 41950
1882331,16797 18523 24852 27579 47931
1696774,1366 17615 18811 36099
2686576,24852 46802
3048274,13712 15399 19598 20084 26309 34224 45599
1141566,4920 43352
3069370,27845
2527879,311 11599 27275 48697
2969880,9076 13263 16185 21903 24964 27966 35168 47766
2726815,2256 9597 15424 26231 27307 29546 43295
1862801,17454 21137 24852 27845 28769 29603 49235
865014,5776 11361 11422 16797 24184 34969 41787 47766
2572142,13225 16797 24852 27292
1379299,25705
1579044,5618 6656 7058 10017 12258 14992 24852 27521 34358 37646 47626 49683
346816,3873
3116687,3631 12902 15317 15564 19863 20658 23405 26988 30251 33793 34355 37980 42511 42895 46541 47987
158824,4317 4591 10070 10145 15124 15925 19660 23803 26209 28842 33231 33819 44536 44799 46023 46025 46416 46844 47793
2306683,34 23765 28476
939128,16797 24852 46906 49683
1242621,16813 35914 39322 40236
1177551,31380
61423,6184 8057 39871
738988,27966
1105633,21137 24852 28204 38508
930307,2805 4357 22677 24852 39190
588332,3490 6656 12456 13629 17704 19875 21137 26679 27521 32579
2964001,14233
1971668,4175 5578 6656 8809 9934 13176 19660 28226 28985 33000 34243 38374
1452849,5876 8075 10621 13984 16133 16973 21903 21938 26209 30291 30391 31717 34126 34243 35939 42592 43295 44359 46667 47209
1544353,49198
2242945,2846 6347 16589 17652 21903 22035 25138 27845 29487 46906 46969 49075
465851,79 30135 40910 45948
3088338,432 21454 26706 42347 42508
3037363,8963 20161 43295 48199
2305779,12341 48174
632748,24701 28080 28449
2770483,9018 21543 27325 44422
143045,8277 11100 12276 13176 21137 21903 22035 23765 24561 25890 32585 35221 39275 40002 42828 43654
2481483,19660 23662
1299805,42736
2364890,5322 18095 19376
1979817,1194 4472 5212 5876 14947 15261 21380 21709
2193705,4149 6087 6184 8048 12341 21903 29223 30827 38768 39275 40742 48762
1160743,4193 13176 39732
239545,2482 8654 9339 13702 19862 21137 27086 27966 29127 30489 30774 34295 34943 35951 36830 41588 42342 42450 43961
729099,12341
906822,4920 8571 25588 32303 38768
887842,1468 20995 24082 25720 33055 33120 39275 45763
